,directory,filename,path,class
0,./animal-dataset/train/scoiattolo_train,OIP-644M3fPyUJCLOtokmHP2TgHaFb.jpeg,./animal-dataset/train/scoiattolo_train/OIP-644M3fPyUJCLOtokmHP2TgHaFb.jpeg,0
1,./animal-dataset/train/scoiattolo_train,OIP-wjBk05GGOFnoWVBlxtjicQHaE8.jpeg,./animal-dataset/train/scoiattolo_train/OIP-wjBk05GGOFnoWVBlxtjicQHaE8.jpeg,0
2,./animal-dataset/train/scoiattolo_train,OIP-tum0IyvKslDpVPR4TSDxCgHaFY.jpeg,./animal-dataset/train/scoiattolo_train/OIP-tum0IyvKslDpVPR4TSDxCgHaFY.jpeg,0
3,./animal-dataset/train/scoiattolo_train,OIP-VvVfAhzf8AaaV-G4RrGv5wHaE6.jpeg,./animal-dataset/train/scoiattolo_train/OIP-VvVfAhzf8AaaV-G4RrGv5wHaE6.jpeg,0
4,./animal-dataset/train/scoiattolo_train,OIP-ln_wS6uim4_tgrSOLlK-MAHaHs.jpeg,./animal-dataset/train/scoiattolo_train/OIP-ln_wS6uim4_tgrSOLlK-MAHaHs.jpeg,0
5,./animal-dataset/train/scoiattolo_train,OIP-8qkmEKjwnlYNeyg45nJJVAHaFI.jpeg,./animal-dataset/train/scoiattolo_train/OIP-8qkmEKjwnlYNeyg45nJJVAHaFI.jpeg,0
6,./animal-dataset/train/scoiattolo_train,OIP-7EUCOLttlBanFMlqrCyidQHaCZ.jpeg,./animal-dataset/train/scoiattolo_train/OIP-7EUCOLttlBanFMlqrCyidQHaCZ.jpeg,0
7,./animal-dataset/train/scoiattolo_train,OIP-SELGUyWrdbK0AoESKWWDsgHaE8.jpeg,./animal-dataset/train/scoiattolo_train/OIP-SELGUyWrdbK0AoESKWWDsgHaE8.jpeg,0
8,./animal-dataset/train/scoiattolo_train,OIP-9PL3oIfQLASBFW31FK9S7wAAAA.jpeg,./animal-dataset/train/scoiattolo_train/OIP-9PL3oIfQLASBFW31FK9S7wAAAA.jpeg,0
9,./animal-dataset/train/scoiattolo_train,OIP-DoRn_mwP61bOZNsjCJCShQHaFc.jpeg,./animal-dataset/train/scoiattolo_train/OIP-DoRn_mwP61bOZNsjCJCShQHaFc.jpeg,0
10,./animal-dataset/train/scoiattolo_train,OIP-SleuRFtcz-eUQje1fFLStgHaE8.jpeg,./animal-dataset/train/scoiattolo_train/OIP-SleuRFtcz-eUQje1fFLStgHaE8.jpeg,0
